scenario,n_players,gini_mean,gini_median,gini_sd,hhi_mean,hhi_median,avg_bankruptcies,pct_with_bankruptcy,avg_first_bk_turn,avg_mobility,avg_capital,avg_game_length,pct_reached_cap,avg_wealth_gap,avg_rent_burden,n_games
Baseline,6,0.334345777893865,0.305903244627306,0.152556756021157,0.27089282009663,0.223593964334705,1.154,62.6,118.399361022364,14.038,60.684,199.614,97.8,2382.528,0.00996358281727556,500
Extreme_Capitalism,6,0.33492475926554,0.313009286604812,0.146229832234167,0.271291307503523,0.224952741020794,1.188,64.4,119.39751552795,14.102,59.036,199.614,98.2,2321.264,0.00983533532173604,500
Democratic_Socialism,6,0.0499243948360961,0.047200324730676,0.0187553135795466,0.203812099325327,0.198979591836735,0.002,0.2,75,16.444,86.462,200,100,1136.116,0.00941243234081655,500
Rent_Control_Only,6,0.313121126155301,0.284990349148426,0.1325490774669,0.247194419832404,0.219387755102041,0.956,56.6,121.162544169611,14.258,59.074,199.908,99.8,2296.134,0.00918210413320499,500
UBI_Only,6,0.247729332852619,0.243091864623236,0.0700420509036847,0.212249800325176,0.206632653061225,0.202,16.4,130.256097560976,14.064,77.588,200,100,4300.454,0.00981845856232317,500
