scenario,avg_builds,mono_hit_rate_pct,peak_groups_avg,pct_games_any_mono,avg_rent_event,total_rent_avg,n_rent_events_avg,game_length_avg,n_games
Baseline,87.78,6.63,1.01,71.5,16.05,1198.7,75.5,171,200
Rent_Control_Only,90.3,6.03,0.95,69.5,14.51,1149.8,79.1,178.5,200
