scenario,n_players,gini_mean,gini_median,gini_sd,hhi_mean,hhi_median,avg_bankruptcies,pct_with_bankruptcy,avg_first_bk_turn,avg_mobility,avg_capital,avg_game_length,pct_reached_cap,avg_wealth_gap,avg_rent_burden,n_games
Baseline,4,0.573658097385552,0.691446000752913,0.208651115368228,0.730171786945301,1,2.282,88.6,99.4356659142212,9.794,87.18,172.802,46.8,2424.426,0.0106008499459393,500
Extreme_Capitalism,4,0.58326642064054,0.687772022265541,0.200500489937968,0.735804194737283,0.931122448979592,2.338,92.2,99.6702819956616,10.158,86.238,172.96,48.2,2371.8,0.0107575364660135,500
Democratic_Socialism,4,0.0502231770351533,0.0457387272740804,0.0230485781649678,0.289382657285282,0.283163265306122,0,0,,10.044,177.826,200,100,1025.688,0.0101806594751655,500
Rent_Control_Only,4,0.560837062841433,0.599616425258004,0.200069234070338,0.68978772814554,0.600052892561983,2.18,90,102.442222222222,9.544,91.398,178.158,56,2217.358,0.00965485916343417,500
UBI_Only,4,0.335888710123985,0.313954924740112,0.137090947603656,0.347911036565664,0.295918367346939,0.552,37.2,121.284946236559,8.048,135.204,198.872,97,3441.698,0.0106686147620315,500
