scenario,n_players,gini_mean,gini_median,gini_sd,hhi_mean,hhi_median,avg_bankruptcies,pct_with_bankruptcy,avg_first_bk_turn,avg_mobility,avg_capital,avg_game_length,pct_reached_cap,avg_wealth_gap,avg_rent_burden,n_games
Baseline,8,0.225121869275814,0.209880147230636,0.0735584509322647,0.17105709615083,0.163265306122449,0.488,35,129.125714285714,19.476,37.974,200,100,2095.894,0.00914168670058646,500
Extreme_Capitalism,8,0.228917272455067,0.21861002241837,0.0751342656571571,0.171712758054053,0.165898561070519,0.55,40.8,127.573529411765,19.606,37.358,200,100,2078.776,0.00912584668086704,500
Democratic_Socialism,8,0.0497414239461579,0.0489671243385109,0.014211340885309,0.163503456770246,0.158163265306122,0,0,,21.63,52.506,200,100,1238.646,0.00910831493836199,500
Rent_Control_Only,8,0.230843937244807,0.221153782041082,0.0742510316699694,0.171038770614238,0.163265306122449,0.544,41,129.131707317073,19.738,38.29,200,100,2160.38,0.00898498263362821,500
UBI_Only,8,0.156222314134086,0.154902456559142,0.0446375712274128,0.16309970945509,0.158163265306122,0.05,4.6,130.652173913043,21.968,50.33,200,100,3685.564,0.00910743102328323,500
