seed,scenario,n_players,game_length,terminated_by_cap,n_winners,winner_ids,gini_final,hhi_final,n_bankruptcies,first_bankruptcy_turn,social_mobility,capital_formation,wealth_min,wealth_max,wealth_mean,wealth_sd,rent_burden_mean
200323,Baseline,8,200,TRUE,6,"1,2,3,5,6,7",0.383013505427814,0.21301775147929,2,63,19,49,0,2499,1462.375,1107.71798080558,0.00662108262108262
200324,Baseline,8,200,TRUE,6,"1,2,4,5,7,8",0.317294417119683,0.229024943310658,2,117,20,24,0,2220,1448.625,952.877587326185,0.00907878787878788
200325,Baseline,8,200,TRUE,7,"1,2,4,5,6,7,8",0.243409159385357,0.158163265306122,2,82,23,40,0,2650,1659.5,811.089214751198,0.0133279132791328
200326,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.182483317445186,0.168367346938776,0,,35,21,884,2860,1966.875,695.086929301447,0.00787160493827161
200327,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.227581982661138,0.135204081632653,0,,18,41,685,2538,1658.125,723.58027247451,0.0103697916666667
200328,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.158587650816182,0.170918367346939,0,,26,43,857,2530,1761.25,532.122367774288,0.00826086956521739
200329,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.13253164556962,0.163265306122449,0,,34,21,853,2644,1975,538.04487332776,0.00892620865139949
200330,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.20208908839779,0.142857142857143,0,,21,43,645,2761,1810,709.49841437455,0.00867661691542289
200331,Baseline,8,200,TRUE,7,"2,3,4,5,6,7,8",0.206569314021964,0.211805555555556,1,176,35,32,0,2286,1570.75,702.517259574453,0.00954985754985755
200332,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.170034642032333,0.196428571428571,0,,26,35,818,2675,1894.375,616.473365778511,0.0078494623655914
200333,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.189355852317361,0.168367346938776,0,,24,52,928,2426,1591.25,573.782375370414,0.0103279569892473
200334,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.132757352941177,0.198979591836735,0,,29,36,792,2350,1700,466.771892898448,0.00875806451612903
200335,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.191591337099812,0.14030612244898,0,,22,35,930,2412,1659.375,613.522834014467,0.00766391184573003
200336,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.154665977961433,0.150510204081633,0,,14,35,767,2441,1815,548.456014644748,0.00897395833333333
200337,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.178840605842048,0.170918367346939,0,,30,50,1017,2549,1733.125,584.395521030064,0.00839370078740157
200338,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.172713310580205,0.165816326530612,0,,27,28,981,2626,1831.25,595.506207236451,0.008125
200339,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.135285714285714,0.153061224489796,0,,22,19,624,2432,1750,517.443164580835,0.00780685358255452
200340,Baseline,8,200,TRUE,7,"1,2,4,5,6,7,8",0.290272290649934,0.176020408163265,2,130,15,32,0,2765,1613.625,901.766668822928,0.00920661157024793
200341,Baseline,8,200,TRUE,7,"1,2,3,5,6,7,8",0.276944667201283,0.165816326530612,1,115,13,24,0,2834,1558.75,842.466574156761,0.0124463276836158
200342,Baseline,8,200,TRUE,6,"2,3,4,6,7,8",0.397574090593716,0.192307692307692,2,92,18,54,0,2376,1261.125,960.857271621843,0.00939622641509434
200343,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.131797734088637,0.181122448979592,0,,24,28,1419,2842,1875.625,497.200142943319,0.0127093333333333
200344,Baseline,8,200,TRUE,7,"1,2,3,4,5,6,7",0.307608067777029,0.160714285714286,1,87,24,54,0,2292,1298.375,769.297255849222,0.010047619047619
200345,Baseline,8,200,TRUE,6,"2,3,4,5,6,7",0.307927276730021,0.285714285714286,2,95,24,35,0,2648,1703.375,1091.46925059756,0.00972173913043478
200346,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.166934907010014,0.145408163265306,0,,24,43,1043,2382,1747.5,556.626830624817,0.00816797900262467
200347,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.14483261969638,0.188775510204082,0,,17,38,1009,2232,1605.625,454.57262110376,0.00904197530864197
200348,Baseline,8,200,TRUE,7,"1,3,4,5,6,7,8",0.313996579247434,0.155612244897959,1,81,16,45,0,2730,1534.75,918.954802246241,0.00943250688705234
200349,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.190112891478514,0.14030612244898,0,,23,35,845,2451,1716.25,632.856957433059,0.00875318066157761
200350,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.183094768015795,0.153061224489796,0,,21,17,1113,2856,1899.375,664.319617030409,0.00891460055096419
200351,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.190399855907781,0.193877551020408,0,,14,58,947,2388,1735,656.078610272537,0.00832142857142857
200352,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.21015597616544,0.168724279835391,0,,16,36,849,2711,1783.125,718.271225632371,0.0095968992248062
200353,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.153177458033573,0.155612244897959,0,,16,37,1200,2681,1824.375,531.641108133243,0.00798319327731092
200354,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.176676413255361,0.155612244897959,0,,24,36,967,2374,1603.125,541.154437291241,0.00983040935672515
200355,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.228575989782886,0.137755102040816,0,,17,67,440,2270,1468.125,634.399477008432,0.00838260869565218
200356,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.138992359121299,0.176020408163265,0,,27,17,1254,2684,1963.125,512.286872060679,0.00993888888888889
200357,Baseline,8,200,TRUE,8,"1,2,3,4,5,6,7,8",0.123409255242227,0.137755102040816,0,,22,39,1086,2251,1728.75,403.593058838798,0.00738935574229692
200358,Baseline,8,200,TRUE,7,"2,3,4,5,6,7,8",0.309107910233965,0.177083333333333,1,200,17,35,0,2754,1570.75,922.116006027131,0.00919466666666667
200359,Baseline,8,200,TRUE,7,"1,2,3,4,5,7,8",0.264936173370937,0.171467764060357,1,181,21,33,0,2660,1684.25,880.330254587934,0.0100906666666667
