seed,scenario,n_players,game_length,terminated_by_cap,n_winners,winner_ids,gini_final,hhi_final,n_bankruptcies,first_bankruptcy_turn,social_mobility,capital_formation,wealth_min,wealth_max,wealth_mean,wealth_sd,rent_burden_mean
597176,Baseline,2,161,FALSE,1,1,0.5,1,1,161,4,124,0,2656,1328,1878.07561083147,0.0154771241830065
597177,Baseline,2,75,FALSE,1,1,0.5,1,1,75,2,18,0,1911,955.5,1351.28105884749,0.0128
597178,Baseline,2,66,FALSE,1,2,0.5,1,1,66,4,32,0,2990,1495,2114.24927574778,0.00635897435897436
597179,Baseline,2,56,FALSE,1,2,0.5,1,1,56,2,21,0,2233,1116.5,1578.96944238956,0.00933333333333333
597180,Baseline,2,105,FALSE,1,1,0.5,1,1,105,6,74,0,1630,815,1152.58405333407,0.00936231884057971
597181,Baseline,2,47,FALSE,1,1,0.5,1,1,47,0,21,0,1522,761,1076.21652096593,0.0100833333333333
597182,Baseline,2,48,FALSE,1,2,0.5,1,1,48,4,25,0,1720,860,1216.22366364086,0.00518518518518519
597183,Baseline,2,66,FALSE,1,2,0.5,1,1,66,0,30,0,2351,1175.5,1662.40804256957,0.00817777777777778
597184,Baseline,2,51,FALSE,1,1,0.5,1,1,51,6,16,0,3290,1645,2326.38131010374,0.0137777777777778
597185,Baseline,2,51,FALSE,1,1,0.5,1,1,51,3,13,0,2044,1022,1445.3262607453,0.00416666666666667
597186,Baseline,2,65,FALSE,1,1,0.5,1,1,65,1,26,0,1962,981,1387.34350468801,0.0102962962962963
597187,Baseline,2,43,FALSE,1,1,0.5,1,1,43,2,23,0,1696,848,1199.25310089238,0.0072
597188,Baseline,2,77,FALSE,1,1,0.5,1,1,77,2,29,0,3489,1744.5,2467.09555955986,0.00976190476190476
597189,Baseline,2,72,FALSE,1,2,0.400546991546494,1,1,72,4,25,200,1811,1005.5,1139.14902449153,0.00947826086956522
597190,Baseline,2,41,FALSE,1,1,0.5,1,1,41,0,22,0,2008,1004,1419.87041662259,0.0062962962962963
597191,Baseline,2,72,FALSE,1,2,0.5,1,1,72,2,36,0,1903,951.5,1345.624204598,0.0130833333333333
597192,Baseline,2,47,FALSE,1,1,0.5,1,1,47,2,25,0,1864,932,1318.04704013172,0.00518518518518519
597193,Baseline,2,89,FALSE,1,1,0.5,1,1,89,4,65,0,1397,698.5,987.828173317607,0.00863492063492063
597194,Baseline,2,58,FALSE,1,2,0.5,1,1,58,0,22,0,1716,858,1213.39523651612,0.0114444444444444
597195,Baseline,2,114,FALSE,1,2,0.5,1,1,114,2,92,0,1387,693.5,980.757105505741,0.0105185185185185
597196,Baseline,2,62,FALSE,1,2,0.5,1,1,62,2,39,0,2038,1019,1441.08362005818,0.004
597197,Baseline,2,60,FALSE,1,2,0.44983531796301,1,1,60,4,22,198,3749,1973.5,2510.93617999343,0.0144444444444444
597198,Baseline,2,124,FALSE,1,2,0.5,1,1,124,0,103,0,2623,1311.5,1854.74108705231,0.0102272727272727
597199,Baseline,2,98,FALSE,1,2,0.5,1,1,98,4,33,0,4019,2009.5,2841.86215358873,0.0155454545454545
597200,Baseline,2,78,FALSE,1,2,0.5,1,1,78,0,29,0,3679,1839.5,2601.44584798531,0.00433333333333333
597201,Baseline,2,43,FALSE,1,1,0.5,1,1,43,0,13,0,2930,1465,2071.82286887658,0.00566666666666667
597202,Baseline,2,56,FALSE,1,2,0.417058335637268,1,1,56,0,19,300,3317,1808.5,2133.34115883981,0.0271794871794872
597203,Baseline,2,118,FALSE,1,2,0.5,1,1,118,4,65,0,4035,2017.5,2853.17586208772,0.0172413793103448
597204,Baseline,2,52,FALSE,1,2,0.5,1,1,52,4,17,0,3465,1732.5,2450.12499681139,0.012
597205,Baseline,2,34,FALSE,1,2,0.5,1,1,34,0,4,0,3503,1751.5,2476.99505449648,0.0075
597206,Baseline,2,66,FALSE,1,2,0.5,1,1,66,2,28,0,3668,1834,2593.66767339226,0.0228
597207,Baseline,2,136,FALSE,1,2,0.5,1,1,136,6,88,0,2075,1037.5,1467.24657096209,0.0117054263565891
597208,Baseline,2,96,FALSE,1,2,0.5,1,1,96,6,68,0,1929,964.5,1364.00898090885,0.0121666666666667
597209,Baseline,2,176,FALSE,1,2,0.475891996142719,1,1,176,0,168,100,4048,2074,2791.65757212449,0.0128958333333333
597210,Baseline,2,47,FALSE,1,1,0.5,1,1,47,4,4,0,3620,1810,2559.7265478953,0.00819047619047619
597211,Baseline,2,27,FALSE,1,1,0.5,1,1,27,2,1,0,1946,973,1376.02979618902,0.00266666666666667
597212,Baseline,2,40,FALSE,1,2,0.5,1,1,40,0,16,0,3012,1506,2129.80562493388,0.00833333333333333
597213,Baseline,2,62,FALSE,1,2,0.5,1,1,62,2,21,0,3858,1929,2728.0179618177,0.0128888888888889
