scenario,n_players,gini_mean,gini_median,gini_sd,hhi_mean,hhi_median,avg_bankruptcies,pct_with_bankruptcy,avg_first_bk_turn,avg_mobility,avg_capital,avg_game_length,pct_reached_cap,avg_wealth_gap,avg_rent_burden,n_games
Baseline,2,0.485612369395892,0.5,0.059762349435217,0.98928355853433,1,1.034,98.4,70.8821138211382,2.682,40.958,72.948,1.6,2427.66,0.0105769680233693,500
Extreme_Capitalism,2,0.483263549969522,0.5,0.0695198829523219,0.985334422807328,1,1.026,98,70.3367346938776,2.786,39.454,72.93,2,2285.058,0.0106392882067908,500
Democratic_Socialism,2,0.0641766427697212,0.0425554275111797,0.0924730630585881,0.54617955824305,0.510204081632653,0.044,3.8,57.5789473684211,4.218,528.55,194.588,96.2,887.532,0.011982755017066,500
Rent_Control_Only,2,0.482766711841824,0.5,0.0726016894343411,0.983950534872988,1,1.026,97.4,75.8521560574949,2.904,47.35,79.08,2.8,2137.262,0.00952266381398169,500
UBI_Only,2,0.422282809206666,0.5,0.162929623948364,0.916369580419446,1,0.902,82.8,92.2487922705314,3.224,100.842,110.782,17.2,2296.444,0.0117832505491272,500
