seed,scenario,n_players,game_length,terminated_by_cap,n_winners,winner_ids,gini_final,hhi_final,n_bankruptcies,first_bankruptcy_turn,social_mobility,capital_formation,wealth_min,wealth_max,wealth_mean,wealth_sd,rent_burden_mean
306104,Baseline,6,200,TRUE,5,"1,2,3,4,5",0.30239882647338,0.286694101508916,1,113,18,74,0,2242,1287.66666666667,781.4319334828,0.00988985507246377
306105,Baseline,6,200,TRUE,5,"1,2,3,5,6",0.377874071453838,0.204389574759945,1,141,20,31,0,4384,1884.66666666667,1457.45115412719,0.01525
306106,Baseline,6,200,TRUE,5,"1,2,4,5,6",0.340244324800856,0.237311385459534,1,152,10,49,0,3391,1764.5,1188.40948330111,0.0103305785123967
306107,Baseline,6,200,TRUE,4,"1,3,5,6",0.480928783271389,0.313775510204082,2,117,20,53,0,3530,1479.83333333333,1405.73460036618,0.0127951070336391
306108,Baseline,6,200,TRUE,5,"1,2,3,4,6",0.277976990886,0.290816326530612,1,88,13,52,0,2963,1859.16666666667,1059.77797989327,0.0135922865013774
306109,Baseline,6,200,TRUE,4,"1,2,5,6",0.473537085352218,0.300567107750473,2,111,8,51,0,2967,1341.5,1246.27248224455,0.0125045045045045
306110,Baseline,6,200,TRUE,6,"1,2,3,4,5,6",0.189303849303849,0.178571428571429,0,,17,56,1022,2461,1695.83333333333,635.393867350533,0.0117118644067797
306111,Baseline,6,200,TRUE,6,"1,2,3,4,5,6",0.303324267150196,0.181122448979592,0,,12,61,649,3684,1838.33333333333,1117.13860673896,0.0101777777777778
306112,Baseline,6,200,TRUE,4,"1,3,5,6",0.526777609682299,0.253086419753086,4,85,14,37,0,2857,1101.66666666667,1174.62345739674,0.00891891891891892
306113,Baseline,6,200,TRUE,5,"1,2,3,4,6",0.260712049378299,0.219387755102041,1,82,18,30,0,2675,1863.16666666667,1061.96674461429,0.00912250712250712
306114,Baseline,6,200,TRUE,5,"1,2,3,5,6",0.395053944234272,0.260355029585799,2,171,11,40,0,3121,1586,1220.55069538303,0.0092782874617737
306115,Baseline,6,200,TRUE,4,"1,2,3,6",0.456674179814676,0.278061224489796,2,153,13,61,0,2635,1109.16666666667,1010.62206915675,0.0148248587570621
306116,Baseline,6,200,TRUE,6,"1,2,3,4,5,6",0.226376811594203,0.219387755102041,0,,15,71,685,2896,1725,769.509454132956,0.00774278215223097
306117,Baseline,6,200,TRUE,5,"1,2,3,4,6",0.37039180609632,0.231824417009602,1,106,8,42,0,3261,1583.83333333333,1148.22670525758,0.0114512820512821
306118,Baseline,6,200,TRUE,5,"2,3,4,5,6",0.280935271381131,0.21301775147929,2,156,15,9,0,3483,2041,1185.65138215244,0.0097183908045977
306119,Baseline,6,200,TRUE,5,"1,3,4,5,6",0.376479593741832,0.211734693877551,1,127,9,60,0,2980,1487.83333333333,1117.88343160934,0.00802873563218391
306120,Baseline,6,200,TRUE,6,"1,2,3,4,5,6",0.222067901234568,0.209183673469388,0,,18,51,940,2751,1800,785.132345531631,0.00888040712468193
306121,Baseline,6,200,TRUE,5,"2,3,4,5,6",0.335370823145884,0.211734693877551,1,114,9,56,0,2560,1431.5,960.842286746373,0.0101308411214953
306122,Baseline,6,200,TRUE,6,"1,2,3,4,5,6",0.201605288007554,0.196428571428571,0,,8,58,884,2538,1765,694.534376399038,0.00816216216216216
306123,Baseline,6,200,TRUE,4,"1,4,5,6",0.339075509618145,0.482041587901701,2,80,21,63,0,2368,1548,1199.54724792315,0.0111559139784946
306124,Baseline,6,200,TRUE,6,"1,2,3,4,5,6",0.182759500127518,0.211734693877551,0,,11,37,1122,3157,2178.33333333333,770.983441240256,0.0122539682539683
306125,Baseline,6,200,TRUE,4,"2,3,4,6",0.48281294757949,0.253772290809328,2,142,12,82,0,2785,1163.66666666667,1104.89685793139,0.00873544973544974
306126,Baseline,6,200,TRUE,5,"1,2,3,4,6",0.352520224019913,0.224489795918367,2,82,11,90,0,2850,1339.16666666667,946.231983536102,0.00989830508474576
306127,Baseline,6,200,TRUE,5,"1,3,4,5,6",0.333433453477506,0.2288,1,115,10,33,0,3016,1664.66666666667,1083.77371561902,0.00918713450292398
306128,Baseline,6,200,TRUE,4,"2,3,5,6",0.461956869520701,0.385459533607682,2,123,10,38,0,4008,1736.33333333333,1576.89120318006,0.00985185185185185
306129,Baseline,6,200,TRUE,5,"1,2,3,4,6",0.261792372156662,0.218934911242604,1,160,9,68,200,2479,1624.16666666667,856.797622934767,0.0114180790960452
306130,Baseline,6,200,TRUE,4,"1,2,4,5",0.454767295597484,0.321428571428571,2,104,11,61,0,2461,1104.16666666667,991.784536412353,0.00962105263157895
306131,Baseline,6,200,TRUE,5,"2,3,4,5,6",0.298757888410298,0.262755102040816,1,132,19,49,0,2663,1663.83333333333,1038.24706436699,0.00999430199430199
306132,Baseline,6,200,TRUE,4,"1,2,3,4",0.433385550706799,0.306666666666667,2,161,10,37,0,3168,1489.5,1277.55982247408,0.0150432098765432
306133,Baseline,6,200,TRUE,3,"2,3,6",0.596720359889711,0.366255144032922,4,63,27,80,0,2407,765.666666666667,966.27339126495,0.00765476190476191
306134,Baseline,6,200,TRUE,6,"1,2,3,4,5,6",0.188001121390524,0.201530612244898,0,,16,42,1173,2827,1981.66666666667,735.168733466452,0.00849404761904762
306135,Baseline,6,200,TRUE,6,"1,2,3,4,5,6",0.175295621604346,0.188775510204082,0,,6,66,951,2587,1738.33333333333,590.612450483959,0.00832203389830509
306136,Baseline,6,200,TRUE,6,"1,2,3,4,5,6",0.247380846982441,0.201530612244898,0,,20,60,986,3342,1882.5,926.684142521064,0.0134840579710145
306137,Baseline,6,200,TRUE,2,"4,6",0.693551529320086,0.86734693877551,5,82,8,75,0,4024,1140.66666666667,1792.27527647587,0.0087719298245614
306138,Baseline,6,200,TRUE,5,"1,2,3,5,6",0.312861847807246,0.245541838134431,1,159,10,60,0,2625,1602.5,1011.41578987081,0.00783060109289618
306139,Baseline,6,200,TRUE,4,"1,4,5,6",0.493987278871,0.32235939643347,2,121,6,75,0,2495,1118,1111.05085392164,0.0142028985507246
306140,Baseline,6,200,TRUE,6,"1,2,3,4,5,6",0.23342736248237,0.186224489795918,0,,14,58,780,2875,1772.5,807.976917987142,0.00846198830409357
306141,Baseline,6,200,TRUE,5,"1,2,3,4,6",0.416193838523935,0.23469387755102,1,118,11,85,0,2879,1321.83333333333,1064.76765853714,0.00827390180878553
306142,Baseline,6,200,TRUE,5,"1,3,4,5,6",0.397361575622445,0.233727810650888,1,115,15,38,0,3078,1495,1155.26326004076,0.00754545454545455
