seed,scenario,n_players,game_length,terminated_by_cap,n_winners,winner_ids,gini_final,hhi_final,n_bankruptcies,first_bankruptcy_turn,social_mobility,capital_formation,wealth_min,wealth_max,wealth_mean,wealth_sd,rent_burden_mean
281683,Baseline,4,200,TRUE,2,"1,4",0.661744347023535,0.698216735253772,2,98,5,113,0,3569,1083.5,1695.7886071088,0.00985185185185185
281684,Baseline,4,200,TRUE,2,"1,4",0.560097323600973,0.547337278106509,2,117,6,68,0,2549,1027.5,1253.1423170042,0.0104521072796935
281685,Baseline,4,138,FALSE,1,3,0.75,1,4,96,13,47,0,2925,731.25,1462.5,0.0113025641025641
281686,Baseline,4,200,TRUE,3,"2,3,4",0.416878474980143,0.3664,1,144,2,106,0,3217,1573.75,1358.58170530889,0.00867901234567901
281687,Baseline,4,151,FALSE,1,2,0.75,1,3,76,16,68,0,3322,830.5,1661,0.0113541666666667
281688,Baseline,4,188,FALSE,1,1,0.75,1,3,154,14,90,0,1979,494.75,989.5,0.0104385964912281
281689,Baseline,4,200,TRUE,2,"3,4",0.513223311697279,0.808673469387755,2,45,10,111,0,3812,1810.25,2096.13650557401,0.0108666666666667
281690,Baseline,4,200,TRUE,4,"1,2,3,4",0.0987154150197629,0.256515775034294,0,,4,108,975,1593,1265,259.983332799111,0.00864686468646865
281691,Baseline,4,187,FALSE,1,3,0.75,1,3,127,18,80,0,1793,448.25,896.5,0.00923595505617977
281692,Baseline,4,200,TRUE,2,"1,2",0.51367081754196,0.56786703601108,2,154,2,86,0,2168,923.5,1007.11651096915,0.0105407407407407
281693,Baseline,4,197,FALSE,1,4,0.75,1,3,93,16,79,0,2774,693.5,1387,0.00926851851851852
281694,Baseline,4,200,TRUE,4,"1,2,3,4",0.123345935727788,0.267857142857143,0,,11,79,889,1616,1322.5,353.970337740325,0.0108
281695,Baseline,4,171,FALSE,1,1,0.75,1,4,113,19,84,0,3691,922.75,1845.5,0.00994949494949495
281696,Baseline,4,200,TRUE,2,"2,4",0.574839562098905,0.591836734693878,2,70,6,135,0,1721,662.25,830.406476773072,0.0137706093189964
281697,Baseline,4,137,FALSE,1,4,0.75,1,3,85,23,61,0,2668,667,1334,0.0117424242424242
281698,Baseline,4,200,TRUE,2,"1,3",0.532480818414322,0.508506616257089,2,99,9,95,0,2209,977.5,1147.61448230667,0.0116717948717949
281699,Baseline,4,147,FALSE,1,3,0.75,1,4,136,11,74,0,4319,1079.75,2159.5,0.0140084388185654
281700,Baseline,4,200,TRUE,2,"1,2",0.558569371099376,0.5392,2,103,12,157,0,2571,1041.5,1266.90923116062,0.0101305841924399
281701,Baseline,4,134,FALSE,1,4,0.75,1,3,104,10,53,0,1018,254.5,509,0.00992156862745098
281702,Baseline,4,103,FALSE,1,1,0.75,1,3,62,8,49,0,4381,1095.25,2190.5,0.00941269841269841
281703,Baseline,4,135,FALSE,1,4,0.75,1,3,117,14,85,0,2866,716.5,1433,0.008
281704,Baseline,4,200,TRUE,3,"1,2,4",0.268740121923685,0.336076817558299,1,122,10,87,0,1552,1107.25,741.343543844553,0.0107079646017699
281705,Baseline,4,200,TRUE,2,"2,4",0.554770727188513,0.555555555555556,3,138,8,86,0,2632,1079.5,1304.95708741705,0.0111223628691983
281706,Baseline,4,200,TRUE,4,"1,2,3,4",0.184886817576565,0.255102040816327,0,,10,30,1394,3233,1877.5,904.07024063399,0.0107385620915033
281707,Baseline,4,200,TRUE,2,"1,4",0.465823970037453,0.5008,2,94,6,115,0,2040,1068,1122.91525355508,0.0092140350877193
281708,Baseline,4,126,FALSE,1,3,0.75,1,3,60,10,48,0,3479,869.75,1739.5,0.00766666666666667
281709,Baseline,4,200,TRUE,4,"1,2,3,4",0.16606699751861,0.288265306122449,0,,16,104,1461,3172,2015,785.661080449664,0.00831515151515152
281710,Baseline,4,200,TRUE,4,"1,2,3,4",0.14717868338558,0.283163265306122,0,,8,65,1109,2238,1595,493.305179376824,0.0103428571428571
281711,Baseline,4,200,TRUE,3,"2,3,4",0.373888888888889,0.358024691358025,1,84,9,92,0,2216,1125,905.510169278439,0.00773476702508961
281712,Baseline,4,200,TRUE,2,"1,3",0.50894764957265,0.513888888888889,2,79,13,143,0,1939,936,1082.1832870021,0.0133506493506494
281713,Baseline,4,109,FALSE,1,3,0.75,1,3,95,11,58,0,4277,1069.25,2138.5,0.0118814814814815
281714,Baseline,4,200,TRUE,3,"1,2,3",0.403444816053512,0.3664,1,179,0,47,0,3370,1868.75,1604.22470890666,0.0120816326530612
281715,Baseline,4,200,TRUE,2,"1,3",0.47360570687419,0.523629489603025,2,131,10,112,0,1924,963.75,1003.80621469817,0.0114457831325301
281716,Baseline,4,198,FALSE,1,4,0.75,1,3,57,11,128,0,2633,658.25,1316.5,0.0114430379746835
281717,Baseline,4,157,FALSE,1,4,0.75,1,3,116,14,57,0,3132,783,1566,0.00862365591397849
281718,Baseline,4,200,TRUE,3,"1,2,3",0.309424603174603,0.3408,2,159,12,80,0,1973,1260,874.919805848894,0.0102554517133956
281719,Baseline,4,110,FALSE,1,2,0.75,1,3,83,8,67,0,4414,1103.5,2207,0.0119722222222222
281720,Baseline,4,156,FALSE,1,3,0.75,1,3,77,10,66,0,1067,266.75,533.5,0.0156
281721,Baseline,4,200,TRUE,4,"1,2,3,4",0.170106382978724,0.298469387755102,0,,8,137,701,1717,1175,421.110436821507,0.0117939393939394
281722,Baseline,4,200,TRUE,4,"1,2,3,4",0.183374308543331,0.262755102040816,0,,2,51,1289,3127,2033.75,798.577641810739,0.00971428571428572
281723,Baseline,4,100,FALSE,1,2,0.75,1,3,75,8,42,0,3569,892.25,1784.5,0.0151282051282051
281724,Baseline,4,200,TRUE,3,"2,3,4",0.502592285358772,0.594387755102041,1,124,8,104,0,3155,1205.5,1360.97624275126,0.0123625730994152
281725,Baseline,4,138,FALSE,1,3,0.75,1,3,115,16,90,0,4434,1108.5,2217,0.00997333333333333
281726,Baseline,4,177,FALSE,1,3,0.75,1,3,67,10,94,0,1582,395.5,791,0.00693333333333333
281727,Baseline,4,127,FALSE,1,4,0.75,1,3,101,6,39,0,2179,544.75,1089.5,0.00735849056603774
281728,Baseline,4,191,FALSE,1,3,0.75,1,3,119,12,115,0,2453,613.25,1226.5,0.00763713080168776
281729,Baseline,4,200,TRUE,3,"2,3,4",0.401760939167556,0.35969387755102,2,48,2,130,0,2423,1171.25,995.949254062006,0.0096474358974359
281730,Baseline,4,200,TRUE,2,"2,3",0.567325800376648,0.545,3,139,6,138,0,2022,796.5,984.163096239643,0.00813475177304965
281731,Baseline,4,200,TRUE,3,"1,2,4",0.341645885286783,0.339285714285714,1,146,8,80,0,2983,1804.5,1324.08874324949,0.0086872852233677
281732,Baseline,4,200,TRUE,3,"1,3,4",0.41090888012984,0.3359375,1,197,23,80,0,2295,1078.25,944.016728312234,0.00851700680272109
281733,Baseline,4,109,FALSE,1,4,0.75,1,3,97,8,40,0,2505,626.25,1252.5,0.0102121212121212
281734,Baseline,4,87,FALSE,1,4,0.75,1,3,49,6,27,0,2140,535,1070,0.00669333333333333
281735,Baseline,4,103,FALSE,1,2,0.75,1,3,90,12,46,0,1406,351.5,703,0.011982905982906
281736,Baseline,4,200,TRUE,4,"1,2,3,4",0.215848670756646,0.283163265306122,0,,8,96,1068,3148,1833.75,907.078965691521,0.00967676767676768
281737,Baseline,4,148,FALSE,1,2,0.75,1,3,71,8,74,0,1931,482.75,965.5,0.0112380952380952
281738,Baseline,4,147,FALSE,1,3,0.75,1,3,53,12,52,0,1791,447.75,895.5,0.00879245283018868
281739,Baseline,4,158,FALSE,1,3,0.690576230492197,1,3,55,6,80,0,1468,416.5,707.186679738808,0.0144795321637427
281740,Baseline,4,155,FALSE,1,4,0.75,1,3,98,14,43,0,1035,258.75,517.5,0.00882051282051282
281741,Baseline,4,200,TRUE,3,"1,2,4",0.310602866779089,0.354591836734694,1,82,10,80,0,1833,1186,826.332862713326,0.0105833333333333
281742,Baseline,4,200,TRUE,2,"1,4",0.513394817742644,0.510204081632653,2,93,8,99,0,2399,1138.5,1318.39511022556,0.00962962962962963
349176,Extreme_Capitalism,4,200,TRUE,2,"1,2",0.460063335679099,0.515570934256055,2,114,16,103,0,1390,710.5,713.865300085854,0.00850526315789474
349177,Extreme_Capitalism,4,112,FALSE,1,1,0.75,1,3,57,4,45,0,960,240,480,0.0224952380952381
349178,Extreme_Capitalism,4,111,FALSE,1,2,0.75,1,4,95,14,39,0,1886,471.5,943,0.00831818181818182
349179,Extreme_Capitalism,4,123,FALSE,1,4,0.714850615114236,1,3,49,8,59,0,2645,711.25,1292.60960205831,0.00760283687943262
349180,Extreme_Capitalism,4,193,FALSE,1,3,0.75,1,3,96,10,70,0,7253,1813.25,3626.5,0.0118106060606061
349181,Extreme_Capitalism,4,144,FALSE,1,1,0.75,1,3,65,16,74,0,2358,589.5,1179,0.0121960784313726
349182,Extreme_Capitalism,4,176,FALSE,1,4,0.75,1,3,142,13,88,0,2779,694.75,1389.5,0.00919191919191919
349183,Extreme_Capitalism,4,159,FALSE,1,2,0.75,1,3,74,12,75,0,1682,420.5,841,0.0135151515151515
349184,Extreme_Capitalism,4,200,TRUE,3,"2,3,4",0.300870839799966,0.357142857142857,1,168,4,87,0,2140,1449.75,1003.80621469817,0.00914089347079038
349185,Extreme_Capitalism,4,144,FALSE,1,1,0.75,1,4,87,12,81,0,1079,269.75,539.5,0.00702857142857143
349186,Extreme_Capitalism,4,200,TRUE,2,"1,3",0.573711021920346,0.555555555555556,2,77,6,108,0,2097,809.75,1013.04701272942,0.00851754385964912
349187,Extreme_Capitalism,4,200,TRUE,2,"1,4",0.516167192429022,0.524691358024692,2,126,18,124,0,1350,634,735.13536168518,0.0134083333333333
349188,Extreme_Capitalism,4,98,FALSE,1,1,0.75,1,3,65,12,26,0,3050,762.5,1525,0.0111458333333333
349189,Extreme_Capitalism,4,149,FALSE,1,2,0.75,1,3,67,8,72,0,3195,798.75,1597.5,0.00964912280701754
349190,Extreme_Capitalism,4,150,FALSE,1,1,0.75,1,3,109,11,63,0,836,209,418,0.00762051282051282
349191,Extreme_Capitalism,4,151,FALSE,1,4,0.75,1,3,81,16,69,0,1905,476.25,952.5,0.0112469135802469
349192,Extreme_Capitalism,4,168,FALSE,1,2,0.75,1,3,106,14,78,0,1338,334.5,669,0.00889177489177489
349193,Extreme_Capitalism,4,195,FALSE,1,1,0.675036390101892,0.78125,4,75,10,70,0,1168,343.5,558.178884110342,0.00778082191780822
349194,Extreme_Capitalism,4,198,FALSE,1,3,0.75,1,3,85,4,131,0,1841,460.25,920.5,0.0123621399176955
349195,Extreme_Capitalism,4,200,TRUE,3,"1,2,4",0.30713363460297,0.352537722908093,1,138,2,80,0,1847,1161.75,805.57820849375,0.00997163120567376
349196,Extreme_Capitalism,4,146,FALSE,1,2,0.730765003297428,1,3,96,12,79,0,4374,1137.25,2159.40969943177,0.0230444444444444
349197,Extreme_Capitalism,4,200,TRUE,2,"3,4",0.612225670583019,0.663265306122449,2,97,13,127,0,3268,1127.75,1542.46477539467,0.0131223628691983
349198,Extreme_Capitalism,4,147,FALSE,1,3,0.75,1,4,72,10,72,0,1190,297.5,595,0.00983950617283951
349199,Extreme_Capitalism,4,107,FALSE,1,3,0.75,1,3,79,6,38,0,1089,272.25,544.5,0.00731707317073171
349200,Extreme_Capitalism,4,200,TRUE,3,"1,3,4",0.383807531380753,0.358024691358025,1,73,7,73,0,2738,1493.75,1193.09300419819,0.00984313725490196
349201,Extreme_Capitalism,4,182,FALSE,1,4,0.75,1,3,94,18,84,0,910,227.5,455,0.00868444444444445
349202,Extreme_Capitalism,4,200,TRUE,4,"1,2,3,4",0.197838023335621,0.35969387755102,0,,11,129,1124,2762,1821.25,766.575664888992,0.00905555555555556
349203,Extreme_Capitalism,4,200,TRUE,4,"1,2,3,4",0.137941628264209,0.267857142857143,0,,15,95,1294,2490,1627.5,575.921580309912,0.00775975975975976
349204,Extreme_Capitalism,4,164,FALSE,1,3,0.75,1,4,73,8,61,0,2018,504.5,1009,0.00979393939393939
349205,Extreme_Capitalism,4,141,FALSE,1,4,0.75,1,3,85,11,66,0,826,206.5,413,0.00862962962962963
349206,Extreme_Capitalism,4,200,TRUE,3,"1,3,4",0.296437659033079,0.347222222222222,1,165,16,126,0,1471,982.5,672.423725538196,0.00826241134751773
349207,Extreme_Capitalism,4,196,FALSE,1,4,0.703694581280788,1,3,134,16,77,0,1842,507.5,894.069907781265,0.00810486891385768
349208,Extreme_Capitalism,4,181,FALSE,1,4,0.663119026933102,1,3,53,10,156,0,1902,575.5,904.21291740386,0.00905208333333333
349209,Extreme_Capitalism,4,168,FALSE,1,2,0.75,1,5,76,10,116,0,3477,869.25,1738.5,0.00970940170940171
349210,Extreme_Capitalism,4,200,TRUE,3,"2,3,4",0.326555555555556,0.336076817558299,1,72,8,101,0,1733,1125,816.385121536807,0.0086959706959707
349211,Extreme_Capitalism,4,129,FALSE,1,2,0.75,1,3,98,6,73,0,4228,1057,2114,0.00921505376344086
349212,Extreme_Capitalism,4,200,TRUE,2,"1,3",0.513083451202263,0.5,2,159,22,121,0,1488,707,818.606132398237,0.0111811594202899
349213,Extreme_Capitalism,4,200,TRUE,3,"2,3,4",0.320341378560557,0.344387755102041,1,92,8,122,0,1797,1149.75,815.089514511545,0.00844897959183673
349214,Extreme_Capitalism,4,147,FALSE,1,2,0.75,1,3,91,12,22,0,991,247.75,495.5,0.0154152046783626
349215,Extreme_Capitalism,4,124,FALSE,1,2,0.716644429619747,0.900277008310249,4,91,12,59,0,2798,749.5,1368.91721200858,0.00845751633986928
349216,Extreme_Capitalism,4,164,FALSE,1,3,0.75,1,3,79,8,65,0,1121,280.25,560.5,0.01296875
349217,Extreme_Capitalism,4,186,FALSE,1,2,0.75,1,3,115,8,111,0,4153,1038.25,2076.5,0.0143116883116883
349218,Extreme_Capitalism,4,200,TRUE,3,"1,3,4",0.489130434782609,0.479591836734694,1,173,12,99,0,2782,1150,1199.43653437771,0.0100459770114943
349219,Extreme_Capitalism,4,200,TRUE,4,"1,2,3,4",0.171652421652422,0.272959183673469,0,,26,90,1249,2837,1755,728.975536855204,0.00989206349206349
349220,Extreme_Capitalism,4,200,TRUE,3,"1,2,4",0.394278606965174,0.467764060356653,1,66,6,117,0,2963,1658.25,1384.46605231042,0.0122051282051282
349221,Extreme_Capitalism,4,200,TRUE,2,"1,4",0.592162162162162,0.603305785123967,2,94,6,101,0,2532,925,1204.53974612713,0.0108156862745098
349222,Extreme_Capitalism,4,109,FALSE,1,1,0.75,1,3,77,8,61,0,1525,381.25,762.5,0.0095609756097561
349223,Extreme_Capitalism,4,200,TRUE,4,"1,2,3,4",0.147326543602801,0.25765306122449,0,,10,43,1298,2594,1963.75,609.811104632683,0.0107044025157233
349224,Extreme_Capitalism,4,189,FALSE,1,1,0.75,1,3,129,9,128,0,882,220.5,441,0.010984496124031
349225,Extreme_Capitalism,4,192,FALSE,1,2,0.75,1,3,144,8,116,0,750,187.5,375,0.014130081300813
349226,Extreme_Capitalism,4,133,FALSE,1,1,0.66876523151909,1,4,82,16,75,0,1031,307.75,491.297856023546,0.010156862745098
349227,Extreme_Capitalism,4,200,TRUE,4,"1,2,3,4",0.175459940652819,0.283163265306122,0,,8,69,1505,3429,2106.25,890.952813939474,0.0160210526315789
349228,Extreme_Capitalism,4,112,FALSE,1,4,0.75,1,3,74,8,57,0,3734,933.5,1867,0.0182790697674419
349229,Extreme_Capitalism,4,186,FALSE,1,1,0.75,1,3,91,10,136,0,4454,1113.5,2227,0.0124078431372549
349230,Extreme_Capitalism,4,149,FALSE,1,3,0.75,1,3,88,14,89,0,2029,507.25,1014.5,0.00805333333333334
349231,Extreme_Capitalism,4,176,FALSE,1,4,0.75,1,3,61,7,85,0,1264,316,632,0.00887254901960784
349232,Extreme_Capitalism,4,154,FALSE,1,4,0.75,1,3,109,21,72,0,2661,665.25,1330.5,0.0143434343434343
349233,Extreme_Capitalism,4,179,FALSE,1,1,0.71583850931677,1,3,109,23,92,0,2700,724.5,1320.30337422882,0.00830240549828179
349234,Extreme_Capitalism,4,200,TRUE,3,"1,2,4",0.343091828138163,0.355,1,186,11,61,0,2994,1780.5,1306.02947899349,0.0110612244897959
349235,Extreme_Capitalism,4,200,TRUE,2,"2,3",0.602091125467528,0.56786703601108,2,116,6,84,0,2071,735.25,980.403105870233,0.00892444444444445
349236,Extreme_Capitalism,4,191,FALSE,1,2,0.75,1,4,110,6,95,0,4305,1076.25,2152.5,0.0163675213675214
349237,Extreme_Capitalism,4,161,FALSE,1,3,0.739063867016623,1,3,97,7,79,0,4472,1143,2219.83392772222,0.0151929824561404
349238,Extreme_Capitalism,4,171,FALSE,1,4,0.75,1,3,92,12,52,0,4048,1012,2024,0.0117049180327869
349239,Extreme_Capitalism,4,198,FALSE,1,1,0.75,1,4,95,16,93,0,1804,451,902,0.0112266666666667
349240,Extreme_Capitalism,4,200,TRUE,2,"1,4",0.610203814998694,0.670138888888889,2,102,12,147,0,2757,956.75,1301.85339036314,0.0113805309734513
349241,Extreme_Capitalism,4,138,FALSE,1,2,0.75,1,3,86,12,61,0,4439,1109.75,2219.5,0.0115300546448087
349242,Extreme_Capitalism,4,119,FALSE,1,3,0.75,1,3,75,10,43,0,4298,1074.5,2149,0.00942857142857143
349243,Extreme_Capitalism,4,147,FALSE,1,4,0.75,1,3,60,4,50,0,1969,492.25,984.5,0.0117083333333333
349244,Extreme_Capitalism,4,98,FALSE,1,2,0.75,1,4,78,12,47,0,1128,282,564,0.0078974358974359
349245,Extreme_Capitalism,4,200,TRUE,4,"1,2,3,4",0.155954631379962,0.318877551020408,0,,12,82,970,2028,1322.5,480.357158789166,0.0112063492063492
349246,Extreme_Capitalism,4,94,FALSE,1,4,0.719110764430577,1,3,61,13,25,0,3007,801.25,1473.45928006172,0.00768888888888889
349247,Extreme_Capitalism,4,200,TRUE,2,"1,4",0.552691218130312,0.528344671201814,2,153,10,78,0,2137,882.5,1063.32701147546,0.01055
349248,Extreme_Capitalism,4,190,FALSE,1,4,0.75,1,3,100,6,107,0,4077,1019.25,2038.5,0.00719444444444445
349249,Extreme_Capitalism,4,200,TRUE,2,"2,3",0.535394376710625,0.5072,2,91,11,108,0,2294,1004.75,1183.21183648576,0.0109156626506024
349250,Extreme_Capitalism,4,172,FALSE,1,4,0.696842105263158,0.857988165680474,3,112,12,76,0,1698,475,820.875142759238,0.0104109589041096
349251,Extreme_Capitalism,4,172,FALSE,1,4,0.75,1,3,89,8,100,0,1842,460.5,921,0.00816460905349794
349252,Extreme_Capitalism,4,194,FALSE,1,3,0.703639313861845,1,3,137,13,98,0,1957,539.25,949.857313845962,0.0102692307692308
349253,Extreme_Capitalism,4,200,TRUE,3,"1,2,3",0.305626326963907,0.339285714285714,1,71,15,145,0,1876,1177.5,816.002246728933,0.00962698412698413
349254,Extreme_Capitalism,4,200,TRUE,2,"3,4",0.521720613287905,0.516528925619835,2,72,4,121,0,1914,880.5,1024.35980007027,0.012287037037037
349255,Extreme_Capitalism,4,125,FALSE,1,1,0.677166788055353,1,3,82,8,73,0,1173,343.25,561.14369817365,0.0126991869918699
349256,Extreme_Capitalism,4,200,TRUE,4,"1,2,3,4",0.175113464447806,0.25765306122449,0,,8,76,1141,2642,1652.5,674.054646647189,0.00882898550724638
349257,Extreme_Capitalism,4,180,FALSE,1,1,0.75,1,3,87,8,109,0,2259,564.75,1129.5,0.012156862745098
349258,Extreme_Capitalism,4,200,TRUE,2,"2,4",0.507926195426195,0.500945179584121,2,116,15,104,0,1985,962,1111.93794790896,0.00934146341463415
349259,Extreme_Capitalism,4,91,FALSE,1,3,0.75,1,3,33,6,34,0,1860,465,930,0.00844444444444445
349260,Extreme_Capitalism,4,200,TRUE,4,"1,2,3,4",0.134310618066561,0.303571428571429,0,,8,109,1112,2080,1577.5,442.710966658835,0.0119146666666667
349261,Extreme_Capitalism,4,175,FALSE,1,3,0.693914750420639,1,3,104,12,80,0,1583,445.75,764.006271789266,0.0100225988700565
349262,Extreme_Capitalism,4,142,FALSE,1,3,0.75,1,3,116,11,68,0,927,231.75,463.5,0.0130531400966184
349263,Extreme_Capitalism,4,200,TRUE,3,"1,2,3",0.442830123796424,0.517857142857143,1,191,24,110,0,3128,1454,1336.90612983859,0.0122508960573477
349264,Extreme_Capitalism,4,200,TRUE,3,"1,3,4",0.358863198458574,0.337278106508876,1,85,8,101,0,1840,1038,784.282262114009,0.00996124031007752
349265,Extreme_Capitalism,4,200,TRUE,2,"2,3",0.493482794577685,0.546313799621928,3,100,6,129,0,2068,959,1015.95997296481,0.0104095238095238
349266,Extreme_Capitalism,4,190,FALSE,1,1,0.75,1,3,98,6,96,0,4457,1114.25,2228.5,0.0120975609756098
349267,Extreme_Capitalism,4,186,FALSE,1,2,0.68581514762516,0.802469135802469,5,104,10,128,0,1358,389.5,652.513856813274,0.0087793427230047
349268,Extreme_Capitalism,4,192,FALSE,1,2,0.75,1,3,134,10,63,0,3326,831.5,1663,0.0115294117647059
349269,Extreme_Capitalism,4,148,FALSE,1,4,0.75,1,3,64,5,49,0,1567,391.75,783.5,0.00914975845410628
349270,Extreme_Capitalism,4,148,FALSE,1,4,0.75,1,3,65,10,70,0,1362,340.5,681,0.00897560975609756
349271,Extreme_Capitalism,4,200,TRUE,3,"2,3,4",0.347576057383131,0.3648393194707,1,184,4,120,0,1820,1010.75,754.931067493362,0.0104063492063492
349272,Extreme_Capitalism,4,200,TRUE,2,"1,2",0.542420814479638,0.516528925619835,2,143,10,123,0,2068,884,1049.73393454405,0.00971153846153846
349273,Extreme_Capitalism,4,200,TRUE,2,"3,4",0.589557215257402,0.537190082644628,3,100,11,101,0,2546,937.25,1213.20165265301,0.0117911646586345
349274,Extreme_Capitalism,4,191,FALSE,1,2,0.75,1,3,94,9,130,0,3717,929.25,1858.5,0.00809638554216868
349275,Extreme_Capitalism,4,200,TRUE,3,"1,3,4",0.326693684049549,0.39030612244898,1,77,4,114,0,2677,1634.75,1164.23347458031,0.00856410256410256
194682,Democratic_Socialism,4,200,TRUE,4,"1,2,3,4",0.0531911773332552,0.252551020408163,0,,12,93,3842,4862,4261.75,487.690048425568,0.00809009009009009
