seed,scenario,n_players,game_length,terminated_by_cap,n_winners,winner_ids,gini_final,hhi_final,n_bankruptcies,first_bankruptcy_turn,social_mobility,capital_formation,wealth_min,wealth_max,wealth_mean,wealth_sd,rent_burden_mean
249045,Baseline,4,132,FALSE,1,4,0.75,1,3,69,7,60,0,1781,445.25,890.5,0.0111578947368421
249046,Baseline,4,157,FALSE,1,2,0.690213523131673,1,5,76,16,67,0,1237,351.25,595.787084452156,0.0131717171717172
249047,Baseline,4,200,TRUE,4,"1,2,3,4",0.0775412087912089,0.283163265306122,0,,14,99,1547,2212,1820,299.921100735955,0.00947663551401869
249048,Baseline,4,200,TRUE,3,"1,2,3",0.455781378742104,0.512755102040816,1,135,6,109,0,3736,1820.5,1744.15070067545,0.0101263157894737
249049,Baseline,4,200,TRUE,3,"2,3,4",0.28536533559898,0.339285714285714,1,72,9,124,0,1700,1177,797.967000153097,0.0105035460992908
249050,Baseline,4,125,FALSE,1,3,0.686655405405405,1,3,67,9,60,0,1034,296,497.055328912185,0.00813953488372093
249051,Baseline,4,186,FALSE,1,1,0.745709995709996,1,6,79,4,134,0,2311,582.75,1152.20524068703,0.0109111111111111
249052,Baseline,4,200,TRUE,3,"1,2,3",0.375434116445352,0.377551020408163,1,115,8,65,0,2262,1223.75,957.835189372368,0.0105017921146953
249053,Baseline,4,128,FALSE,1,4,0.75,1,3,64,10,65,0,3816,954,1908,0.0113181818181818
249054,Baseline,4,200,TRUE,4,"1,2,3,4",0.15172131147541,0.298469387755102,0,,7,93,877,2016,1525,487.825788576209,0.0102064896755162
249055,Baseline,4,200,TRUE,3,"1,2,3",0.288835978835979,0.334183673469388,1,155,10,86,0,1761,1181.25,801.633904389446,0.00880833333333333
249056,Baseline,4,200,TRUE,4,"1,2,3,4",0.135862785862786,0.272959183673469,0,,6,72,800,1507,1202.5,356.395379693209,0.00815902140672783
249057,Baseline,4,200,TRUE,4,"1,2,3,4",0.140386624869383,0.278061224489796,0,,18,123,599,1492,1196.25,404.004434794141,0.0113956386292835
249058,Baseline,4,142,FALSE,1,1,0.75,1,3,115,14,89,0,2438,609.5,1219,0.00967123287671233
249059,Baseline,4,122,FALSE,1,3,0.75,1,3,92,13,57,0,1504,376,752,0.0121830065359477
